ST,Locid,City,Airport Name,S/L,CY 24 Enplanements
FL,SRQ,Sarasota,Sarasota/Bradenton International,P,2112417
TX,ELP,El Paso,El Paso International,P,2071894
MI,GRR,Grand Rapids,Gerald R Ford International,P,2065053
WA,GEG,Spokane,Spokane International,P,2064142
CA,LGB,Long Beach,Long Beach (Daugherty Field),P,2031810
HI,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,2023899
GA,SAV,Savannah,Savannah/Hilton Head International,P,2020753
RI,PVD,Warwick,Rhode Island Tf Green International,P,1984916
AZ,TUS,Tucson International Airport,Tucson International,P,1959789
SC,MYR,Myrtle Beach,Myrtle Beach International,P,1894929
HI,LIH,Lihue,Lihue,P,1776627
TN,TYS,Alcoa,McGhee Tyson,P,1639080
OK,TUL,Tulsa,Tulsa International,P,1627181
CA,PSP,Palm Springs,Palm Springs International,P,1617586
AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,1596510
IA,DSM,Des Moines,Des Moines International,P,1555454
FL,PNS,Pensacola,Pensacola International,P,1528204
NY,ALB,Albany,Albany International,P,1490673
NY,SYR,Syracuse,Syracuse Hancock International,P,1486554
FL,SFB,Sanford,Orlando Sanford International,P,1412954
SC,GSP,Greer,Greenville Spartanburg International,P,1412702
NY,ROC,Rochester,Frederick Douglass/Greater Rochester International,P,1331837
MT,BZN,Bozeman,Bozeman Yellowstone International,P,1321790
CA,FAT,Fresno,Fresno Yosemite International,P,1318250
CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,1248261
FL,PIE,Clearwater,St Pete-Clearwater International,P,1228048
ME,PWM,Portland,Portland International Jetport,P,1221913
NY,HPN,White Plains,Westchester County,P,1182384
FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,1164880
WI,MSN,Madison,Dane County Regional/Truax Field,P,1156399
AR,LIT,Little Rock,Bill and Hillary Clinton Ntl/Adams Field,P,1145693
AR,XNA,Bentonville,Northwest Arkansas Ntl,P,1123106
NC,AVL,Asheville,Asheville Regional,P,1096465
NC,GSO,Greensboro,Piedmont Triad International,P,985563
AZ,IWA,Mesa,Mesa Gateway,P,978296
FL,PGD,Punta Gorda,Punta Gorda,P,957136
GU,GUM,Tamuning,Guam International,P,932832
FL,ECP,Panama City,Northwest Florida Beaches International,P,918470
