ST,Locid,City,Airport Name,S/L,2008 ENP
NV,NFL,Fallon,Fallon NAS /Van Voorhis Field/,GA,335
AK,WSN,South Naknek,South Naknek Nr 2,GA,330
MN,FCM,Minneapolis,Flying Cloud,GA,330
WY,PNA,Pinedale,Ralph Wenz Field,GA,328
IA,OTM,Ottumwa,Ottumwa Regional,GA,327
WA,PAE,Everett,Snohomish County (Paine Field),GA,327
ME,NHZ,Brunswick,Brunswick NAS,GA,325
AK,AKA,Atka,Atka,GA,321
MT,OLF,Wolf Point,L M Clayton,GA,321
AK,RDV,Red Devil,Red Devil,GA,320
SC,JZI,Charleston,Charleston Executive,GA,319
TX,ADS,Dallas,Addison,GA,319
CA,APC,Napa,Napa County,GA,316
MI,LDM,Ludington,Mason County,GA,316
FL,ORL,Orlando,Executive,GA,315
AK,CRC,Circle,Circle City /New/,GA,303
MT,S27,Kalispell,Kalispell City,GA,303
LA,65LA,Belle Chasse,Southern Seaplane,GA,300
ME,1ME1,Belfast,Victor,GA,300
FL,DTS,Destin,Destin-Fort Walton Beach,GA,293
GA,FTY,Atlanta,Fulton County Airport-Brown Field,GA,293
CA,A26,Adin,Adin,GA,291
FL,TMB,Miami,Kendall-Tamiami Executive,GA,291
AK,OUL,Nelson Lagoon,Nelson Lagoon,GA,290
AK,8AK3,Selawik,Roland Norton Memorial Airstrip,GA,289
CA,HWD,Hayward,Hayward Executive,GA,288
GA,SSI,Brunswick,Malcolm McKinnon,GA,284
AK,KEK,Ekwok,Ekwok,GA,283
OR,BDN,Bend,Bend Municipal,GA,279
NM,SRR,Ruidoso,Sierra Blanca Regional,GA,278
PA,AGC,Pittsburgh,Allegheny County,GA,278
TN,NQA,Millington,Millington Regional Jetport,GA,278
WA,BVS,Burlington,Skagit Regional,GA,278
CA,MHR,Sacramento,Sacramento Mather,GA,271
PA,LOM,Ambler,Wings Field,GA,269
MT,MLS,Miles City,Frank Wiley Field,GA,264
SC,NBC,Beaufort,Beaufort MCAS /Merritt Field/,GA,264
WK,AWK,Wake Island,Wake Island Airfield,GA,260
CA,CMA,Camarillo,Camarillo,GA,258
CA,SAC,Sacramento,Sacramento Executive,GA,253
AK,D66,Delta Junction,Delta Junction,GA,252
CO,RIL,Rifle,Garfield County Regional,GA,252
OH,OSU,Columbus,Ohio State University,GA,249
CA,TRK,Truckee,Truckee-Tahoe,GA,248
ID,65S,Bonners Ferry,Boundary County,GA,248
SC,LRO,Mount Pleasant,Mt Pleasant Regional-Faison Field,GA,245
WA,PWT,Bremerton,Bremerton National,GA,241
NY,6N7,New York,New York Skyports Inc,GA,240
NV,ELY,Ely,Ely /Yelland Field/,GA,239
KS,OJC,Olathe,Johnson County Executive,GA,234
FL,ISM,Kissimmee,Kissimmee Gateway,GA,231
AL,JKA,Gulf Shores,Jack Edwards,GA,227
LA,HDC,Hammond,Hammond Northshore Regional,GA,225
OH,MNN,Marion,Marion Municipal,GA,225
AK,RMP,Rampart,Rampart,GA,224
WI,C29,Middleton,Middleton Municipal - Morey Field,GA,224
WI,ISW,Wisconsin Rapids,Alexander Field South Wood County,GA,219
OK,PWA,Oklahoma City,Wiley Post,GA,216
VT,FSO,Swanton,Franklin County State,GA,216
NH,LCI,Laconia,Laconia Municipal,GA,212
MT,GDV,Glendive,Dawson Community,GA,211
AK,TCT,Takotna,Takotna,GA,206
OH,MFD,Mansfield,Mansfield Lahm Regional,GA,206
AK,96Z,North Whale Pass,North Whale,GA,204
AK,GKN,Gulkana,Gulkana,GA,204
CA,EKA,Eureka,Murray Field,GA,203
OH,5G7,Bluffton,Bluffton,GA,202
NH,NH33,Pembroke,Brigham,GA,200
AK,SRV,Stony River,Stony River 2,GA,198
AK,UMT,Umiat,Umiat,GA,197
AK,ELV,Elfin Cove,Elfin Cove,GA,196
OK,BFK,Buffalo,Buffalo Municipal,GA,193
TX,SGR,Houston,Sugar Land Regional,GA,191
IL,UGN,Waukegan,Waukegan Regional,GA,190
IN,MIE,Muncie,Delaware County - Johnson Field,GA,190
OH,PCW,Port Clinton,Carl R Keller Field,GA,190
IN,GUS,Peru,Grissom ARB,GA,188
GA,MGE,Marietta,Dobbins Air Reserve Base,GA,186
AK,78K,Yes Bay,Yes Bay Lodge,GA,185
AK,UGB,Pilot Point,Ugashik Bay,GA,180
MT,HVR,Havre,Havre City-County,GA,180
ME,CAR,Caribou,Caribou Municipal,GA,179
SC,CUB,Columbia,Jim Hamilton L.B. Owens,GA,179
VA,FCI,Chesterfield,Chesterfield County,GA,178
AK,UBW,Kuparuk,Ugnu-Kuparuk,GA,177
NM,0.00E+00,Crownpoint,Crownpoint,GA,177
OH,FDY,Findlay,Findlay,GA,176
AK,ALZ,Lazy Bay,Alitak,GA,175
TX,07TE,Corpus Christi,Cuddihy Field,GA,175
AK,84K,Meyers Chuck,Meyers Chuck,GA,174
AZ,E91,Chinle,Chinle Municipal,GA,174
ME,LEW,Auburn,Auburn/Lewiston Municipal,GA,174
AK,TNC,Tin City,Tin City LRRS,GA,172
SC,SPA,Spartanburg,Spartanburg Downtown Memorial,GA,172
MI,BTL,Battle Creek,W K Kellogg,GA,168
FL,MTH,Marathon,The Florida Keys Marathon,GA,167
FL,LAL,Lakeland,Lakeland Linder Regional,GA,166
AK,IKO,Nikolski,Nikolski AS,GA,165
NM,HMN,Alamogordo,Holloman AFB,GA,165
ID,COE,Hayden Lake,Coeur D'Alene - Pappy Boyington Field,GA,162
AK,5NK,Naknek,Naknek,GA,161
IN,JVY,Jeffersonville,Clark Regional,GA,161
GA,LZU,Lawrenceville,Gwinnett County - Briscoe Field,GA,156
MD,MTN,Middle River,Martin State,GA,156
OH,CGF,Cleveland,Cuyahoga County,GA,156
AK,51Z,Minto,Minto Al Wright,GA,154
KS,LWC,Lawrence,Lawrence Municipal,GA,151
TX,FST,Fort Stockton,Fort Stockton-Pecos County,GA,151
AK,INR,McKinley Park,McKinley National Park,GA,150
LA,ARA,New Iberia,Acadiana Regional,GA,150
TX,NGP,Corpus Christi,Corpus Christi NAS/Truax Field,GA,150
AK,MHM,Lake Minchumina,Minchumina,GA,149
FL,FMY,Fort Myers,Page Field,GA,149
ND,GWR,Gwinner,Gwinner-Roger Melroe Field,GA,149
AZ,GEU,Glendale,Glendale Municipal,GA,148
SD,BKX,Brookings,Brookings Regional,GA,147
WI,SBM,Sheboygan,Sheboygan County Memorial,GA,145
MT,S59,Libby,Libby,GA,144
TX,E38,Alpine,Alpine-Casparis Municipal,GA,143
ID,U79,Chamberlain Guard Station,Chamberlain USFS,GA,142
KS,IXD,Olathe,New Century Aircenter,GA,142
MN,VVV,Ortonville,Ortonville Municipal-Martinson Field,GA,142
AK,SXQ,Soldotna,Soldotna,GA,141
CA,SDM,San Diego,Brown Field Municipal,GA,141
NY,0B8,Fishers Island,Elizabeth Field,GA,140
AK,AHP,Port Alexander,Port Alexander,GA,139
IL,MDH,Carbondale,Southern Illinois,GA,139
MI,CAD,Cadillac,Wexford County,GA,139
NV,N58,Fernley,Tiger Field,GA,139
MO,GPH,Mosby,Midwest National Air Center,GA,137
VA,JYO,Leesburg,Leesburg Executive,GA,137
CA,CCR,Concord,Buchanan Field,GA,135
TN,MKL,Jackson,McKellar-Sipes Regional,GA,134
GA,RYY,Marietta,Cobb County-McCollum Field,GA,132
KY,BRY,Bardstown,Samuels Field,GA,132
CA,SEE,El Cajon,Gillespie Field,GA,131
FL,FPR,Fort Pierce,St Lucie County International,GA,131
KY,LOU,Louisville,Bowman Field,GA,130
NY,JRA,New York,West 30th St.,GA,130
CA,MHV,Mojave,Mojave,GA,128
AK,KCC,Coffman Cove,Coffman Cove,GA,126
CT,GON,Groton New London,Groton-New London,GA,125
KS,CBK,Colby,Shalz Field,GA,125
MS,MS90,Flowood,Flowood Industrial,GA,125
MT,6S5,Hamilton,Ravalli County,GA,125
